80.156192,304.215702,-2.34,0.15,-2.64,0.37,0.155,0.139,-0.71,-0.02,0.01,2633,1243
80.231521,306.869898,12.56,0.12,-3.77,0.24,0.165,0.147,15.37,0.31,0.02,2634,1597
80.285691,309.559668,7.62,0.09,-4.2,0.18,0.181,0.16,11.92,0.23,0.02,2635,1781
80.318341,312.273689,6.22,0.18,-4.17,0.16,0.206,0.183,10.55,0.21,0.02,2635,1833
80.32925,315,8.22,0.14,-3.65,0.16,0.236,0.213,12.19,0.24,0.02,2636,1975
80.318341,317.726311,7.01,0.06,-3.06,0.13,0.272,0.247,10.06,0.19,0.02,2636,2073
80.285691,320.440332,4.41,0.05,-2.86,0.13,0.311,0.285,7.13,0.13,0.02,2636,2052
80.231521,323.130102,8.13,0.05,-2.74,0.15,0.349,0.323,10.59,0.21,0.02,2636,1954
80.156192,325.784298,11.16,0.06,-3.39,0.13,0.382,0.357,14.52,0.3,0.02,2636,1869
80.060196,328.392498,9.82,0.06,-2.08,0.11,0.406,0.383,11.32,0.23,0.02,2635,1721
79.944136,330.945396,5.64,0.14,-1.61,0.21,0.417,0.394,6.94,0.13,0.02,2635,1486
79.808711,333.434949,-3.18,0.16,-0.19,0.49,0.409,0.388,-2.7,-0.09,0.02,2634,1064
79.654698,335.854458,-20.57,0.76,0,0,0.386,0.367,-16.89,-0.38,0.02,1900,632
79.482933,338.198591,-26.33,2.53,0,0,0.351,0.332,-27.45,-0.62,0.06,1633,30
79.294289,340.463345,9.79,1.57,0,0,0.3,0.328,8.95,0.2,0.04,382,5
79.060754,292.750976,-15.11,13.76,0,0,0.182,0.173,-7.37,-0.17,0.32,81,96
79.22564,295.016893,-30.91,1.86,0,0,0.176,0.167,-31.6,-0.71,0.04,2052,437
79.373301,297.349876,-28.41,0.32,-0.82,0.51,0.164,0.154,-25.63,-0.62,0.03,2626,896
79.502991,299.744881,-17.14,0.13,-2.59,0.29,0.152,0.14,-14.68,-0.36,0.02,2628,1261
79.614022,302.195734,-5.02,0.11,-2.77,0.28,0.144,0.13,-2.42,-0.07,0.01,2629,1468
79.705774,304.695154,0.69,0.15,-2.37,0.2,0.142,0.125,3.64,0.07,0.01,2630,1531
79.777719,307.234834,9.02,0.09,-4.36,0.2,0.146,0.126,12.98,0.26,0.02,2631,1709
79.829426,309.805571,9.61,0.07,-4.03,0.17,0.157,0.134,13.29,0.27,0.02,2632,1929
79.860579,312.397438,7.34,0.1,-3.08,0.12,0.177,0.152,10.94,0.22,0.02,2632,2032
79.870985,315,6.52,0.18,-2.46,0.08,0.203,0.177,9.1,0.18,0.02,2633,2126
79.860579,317.602562,6.04,0.05,-1.93,0.05,0.234,0.207,8.04,0.15,0.02,2633,2185
79.829426,320.194429,6.54,0.05,-2.11,0.08,0.27,0.242,8.68,0.17,0.02,2633,2148
79.777719,322.765166,6.79,0.05,-2.39,0.12,0.306,0.278,9.08,0.18,0.02,2633,2065
79.705774,325.304846,8.22,0.05,-2.86,0.12,0.34,0.313,10.48,0.21,0.02,2633,1941
